"","logFC","logCPM","F","PValue","FDR","all_gene_names$gene_name[match(rownames(TT$table), all_gene_names$sheep_ID)]"
"ENSOARG00000017820",-0.263571002909847,4.15834248339829,4.24078158708889,0.0467032746436163,0.196227736016213,"DYRK2"
"ENSOARG00000020389",0.22279383073261,5.1921007512251,4.2404096954269,0.0467123897673691,0.196235557882982,"PPP1R2"
"ENSOARG00000001101",-0.438022880158413,3.6461676407952,4.23857620519056,0.046757357553454,0.196393362569773,"GNG11"
"ENSOARG00000006051",-0.207656432575264,6.31385201196527,4.23818112671547,0.0467670534045597,0.196393362569773,"GTF2F1"
"ENSOARG00000010807",-0.582340462384239,0.176511405301657,4.23790773584282,0.0467737641455449,0.196393362569773,"SLC25A27"
"ENSOARG00000007995",-0.254908062912971,6.05602471215519,4.23761124056531,0.046781043213465,0.196393362569773,"NCAPG2"
"ENSOARG00000003321",-0.331412466195253,2.29150814190722,4.23739916437185,0.0467862505271749,0.196393362569773,"ZNF582"
"ENSOARG00000007890",-0.281347991709407,3.84568563058209,4.23580775578231,0.0468253463091068,0.196526980925624,"ZNF629"
"ENSOARG00000021052",-0.825952339989647,-0.626437297972044,4.23497464833771,0.046845827421769,0.196582443782928,"TDRKH"
"ENSOARG00000001924",-0.36100977376882,2.74219096797889,4.23383400790116,0.0468738849282867,0.196669677861332,"DUSP15"
"ENSOARG00000003772",3.6051015983559,-3.16918911077231,4.29236408156492,0.0469060070013158,0.196773936023197,NA
"ENSOARG00000007598",0.401954666985601,2.69734220399421,4.23196078216901,0.0469200027530937,0.19680213247786,"MSANTD3-TMEFF1"
"ENSOARG00000011170",2.20148034930325,-2.2468043017257,4.23153808617391,0.0469304162137051,0.196815296891269,NA
"ENSOARG00000006543",0.217049878324053,6.4368266242818,4.23050582845839,0.0469558574247015,0.196842084740722,"PTBP3"
"ENSOARG00000004023",-0.285476907682847,3.46348153175216,4.2304536880669,0.0469571428892102,0.196842084740722,NA
"ENSOARG00000008223",0.26567289645418,6.38245715079364,4.23039331224353,0.0469586314377402,0.196842084740722,"RBBP8"
"ENSOARG00000008721",-0.577422156295408,0.132189514521733,4.2293008326992,0.0469855751867167,0.196924516049796,"C6orf141"
"ENSOARG00000017552",1.35760203351654,-1.10782534564319,4.22786820262118,0.0470209338543166,0.197042184711072,"DSP"
"ENSOARG00000000320",0.302838160326023,4.73564370457357,4.22753592714962,0.0470291389141936,0.197046046799534,"PRKCI"
"ENSOARG00000022487",-2.08332841233142,-2.7484469405588,4.28532683089325,0.0470753762742812,0.197209233466151,"MIR331"
"ENSOARG00000010923",-0.185863680684527,7.32547834814451,4.22531972544017,0.0470839051487355,0.197214401830674,"RBM5"
"ENSOARG00000007210",0.350540585277327,3.67636769676432,4.22502517401972,0.0470911893186276,0.197214401830674,"PDE4D"
"ENSOARG00000016431",-0.25190976356208,5.96918426823142,4.22448959631399,0.0471044371782392,0.197226479715031,"TPRG1L"
"ENSOARG00000009989",-0.299137908674578,4.84375737745072,4.22431917562189,0.0471086535047878,0.197226479715031,NA
"ENSOARG00000014742",-0.280906619657168,5.09099708395763,4.22143691231449,0.0471800257130588,0.197485119843739,"CCDC34"
"ENSOARG00000020592",0.547733503430933,1.11161374415367,4.22123498218271,0.0471850304823661,0.197485119843739,NA
"ENSOARG00000009069",0.218757478336612,5.9089256237297,4.21930940286755,0.0472327846966581,0.197654409463788,"ATL2"
"ENSOARG00000018731",-0.235814527541387,9.08707055478606,4.21795218832362,0.0472664754964994,0.197753450925359,NA
"ENSOARG00000002201",-0.293636303491557,3.6061335020852,4.2177671253939,0.0472710714546572,0.197753450925359,NA
"ENSOARG00000018873",3.61300605297961,-3.02226908591517,4.23198637926402,0.0473490753812017,0.198049147396882,"PRDM6"
"ENSOARG00000006567",-0.416735623790332,1.45785674944287,4.21392457213897,0.047366610930525,0.198091867694299,"RMI2"
"ENSOARG00000020998",0.421755983912477,3.96431914305582,4.21197944970492,0.0474150546405171,0.198263815802867,"DTWD1"
"ENSOARG00000012754",0.235489122005556,4.86691437947838,4.21023150962912,0.0474586340475971,0.198415374057131,"ATXN3"
"ENSOARG00000016395",2.08567163762996,-2.09411878660604,4.20949869570626,0.0474769175928484,0.198460348507846,"TFAP2A"
"ENSOARG00000008128",-0.49473277984865,1.26831070232751,4.20921239527918,0.04748406283327,0.198460348507846,"GGCT"
"ENSOARG00000010218",-0.289138902329599,3.554888375977,4.20867106214587,0.0474975761993095,0.198486164117411,NA
"ENSOARG00000004820",-0.351093734347063,2.99362398109121,4.20740865338862,0.0475291063305283,0.198587249832604,"ATP23"
"ENSOARG00000016326",-0.280325501064853,3.2539346485003,4.20624244268906,0.0475582542960045,0.198678352644241,"OSGEPL1"
"ENSOARG00000012214",0.440054860816572,1.08527566451047,4.2058854100564,0.0475671818136992,0.198684967853608,NA
"ENSOARG00000009901",0.589694589117119,1.35662520266743,4.20350907800937,0.0476266485073802,0.198902647224246,NA
"ENSOARG00000013470",4.17708567783735,-2.74689003435186,4.26151581833502,0.0476535072264638,0.19898410009334,NA
"ENSOARG00000020432",-0.466461051992704,2.10233337051135,4.20147077458813,0.0476777214480719,0.1990544870457,"PLA2G4B"
"ENSOARG00000008840",0.221938869915885,4.99730172686692,4.19936196739315,0.0477306244970241,0.199244609650129,"CEP57"
"ENSOARG00000020533",-0.332502028815789,4.09325779960924,4.19692420288919,0.0477918606257725,0.199469453466468,"VAMP8"
"ENSOARG00000008439",-0.263886406690099,4.5959696188598,4.19462268334972,0.0478497537686314,0.199680277411161,"CDADC1"
"ENSOARG00000003760",-0.249218931656667,4.54495467067728,4.19141908303996,0.0479304668295792,0.199986250710585,"DHODH"
"ENSOARG00000007922",-0.320669050923805,4.94315940510241,4.18985310949195,0.0479699753139601,0.200106871326614,"BCL7C"
"ENSOARG00000013852",0.475944825745869,4.99538496709506,4.18968697141003,0.0479741689740673,0.200106871326614,"TMEM33"
"ENSOARG00000005330",-0.216406861470464,5.11768213483206,4.18884080042369,0.0479955343060444,0.200165127966044,"PGS1"
"ENSOARG00000015721",-0.234678348118423,5.26341958266297,4.18768459920898,0.048024744678953,0.200256079307089,"B3GAT3"
"ENSOARG00000010971",0.308007413575346,4.87795057598063,4.18661720903124,0.0480517287157239,0.200314891911487,"TGFBR1"
"ENSOARG00000011774",2.09059637570713,-2.45306105701041,4.18654094084364,0.0480536574445758,0.200314891911487,NA
"ENSOARG00000012654",0.245739744810666,7.73771663550392,4.18444784748743,0.0481066225231505,0.200504785971547,"RAB3GAP2"
"ENSOARG00000005847",0.346847598582044,4.48751068024785,4.18315580659904,0.0481393493331235,0.200610282941824,"PRKCE"
"ENSOARG00000015302",-0.319597581688515,4.77210186729162,4.18111270274574,0.0481911503210394,0.20079522266832,"HAUS3"
"ENSOARG00000010713",-0.374298059358905,1.74411244896606,4.17938445321038,0.048235016440591,0.20094704878099,"XRRA1"
"ENSOARG00000000522",-0.256191975782306,4.33420449029972,4.17832690285875,0.0482618806986902,0.201028009302904,"SLITRK5"
"ENSOARG00000026476",-3.76281657190165,-3.14452546869837,4.25943686732084,0.048329252153494,0.201277645899111,NA
"ENSOARG00000014448",0.323750790522144,4.84812853742549,4.1752643393992,0.0483397700686662,0.201290463204201,"SIK2"
"ENSOARG00000006753",0.267260764909411,4.92038200123917,4.17445636111789,0.048360342261069,0.201345136893038,"CBLL1"
"ENSOARG00000013017",0.32103782093258,5.73650047867811,4.17415684646038,0.0483679707508912,0.201345911785599,"SUZ12"
"ENSOARG00000008190",-0.237400728882484,5.29348146678509,4.17341539614929,0.0483868608296298,0.201370952945002,"BICD2"
"ENSOARG00000005590",-0.302668723984769,4.04920386465833,4.17333644301926,0.0483888728134642,0.201370952945002,"LIG4"
"ENSOARG00000001311",0.197089092877652,6.16678630954432,4.1723705252706,0.0484134950223406,0.201442432226146,"NDEL1"
"ENSOARG00000002335",-0.246456208782005,5.22952661833282,4.17112441928148,0.0484452799136789,0.201543687957046,"PKD2"
"ENSOARG00000016185",0.18651717688674,9.08473139866572,4.16969501785894,0.0484817685221346,0.201657305070197,"PDCD6IP"
"ENSOARG00000009298",-0.385531878257931,4.92796614107151,4.1694706815912,0.0484874979478683,0.201657305070197,NA
"ENSOARG00000007490",-0.528157046017341,1.5859283100224,4.16848042866758,0.0485127973876071,0.201676697459545,NA
"ENSOARG00000021141",2.5268337382792,-2.7669489143381,4.20468844867535,0.0485144795021034,0.201676697459545,"KCNH5"
"ENSOARG00000019937",1.99107302782905,-2.27494984423064,4.16821628458507,0.0485195483212102,0.201676697459545,NA
"ENSOARG00000005482",-0.370212960555053,2.12486844467134,4.16812118359008,0.0485219791440888,0.201676697459545,"PRRT2"
"ENSOARG00000000205",-0.218367168500401,5.56959924748585,4.1662617194571,0.0485695348444717,0.201843348031081,"CIAPIN1"
